"drugname_brand","drugname_generic","claim_count","total_spending","user_count","total_spending_per_user","unit_count","unit_cost_wavg","user_count_non_lowincome","out_of_pocket_avg_non_lowincome","user_count_lowincome","out_of_pocket_avg_lowincome","year"
"KLOR-CON M20","POTASSIUM CHLORIDE",2986054,78008182.82,707817,110.20953554,171164073.05,0.4557509145,390199,38.396151553,317618,5.7484182572,2011
"AMOX TR-POTASSIUM CLAVULANATE","AMOXICILLIN/POTASSIUM CLAV",172349,4483974.07,145452,30.827861219,3671344.796,1.246206862,78267,9.1528688975,67185,1.5963027461,2011
"K-TAB ER","POTASSIUM CHLORIDE",184767,3642346.48,70415,51.726854789,26612910.7,0.1368638899,61072,31.658321817,9343,5.9892261586,2011
"AMOXICILLIN","AMOXICILLIN",4573213,28007618.97,3193300,8.7707446748,116108539.24,0.260967429,2008704,5.9696763883,1184596,1.7467360434,2011
"AMOXICILLIN-CLAVULANATE POT ER","AMOXICILLIN/POTASSIUM CLAV",30456,3031310.67,24851,121.97942417,939016,3.2281778692,15465,40.323794374,9386,2.8150308971,2011
"LANOXIN","DIGOXIN",379475,4108153.55,64340,63.850692415,15076340.1,0.272557168,44337,52.882585651,20003,17.305784132,2011
"LANTUS/LANTUS SOLOSTAR","INSULIN GLARGINE,HUM.REC.ANLOG",7137741,1467024268.1,1278379,1147.5659942,130197904.47,11.19295587,551536,284.50073286,726843,22.942643969,2011
"LASIX","FUROSEMIDE",40972,1087566.77,11579,93.92579411,2423016.722,0.4451627751,7950,66.793045283,3629,11.761369523,2011
"LATANOPROST","LATANOPROST",2650052,53758144.26,676351,79.482612223,8463568.497,6.3517113708,474004,32.324679581,202347,5.0688099156,2011
"AMOXICILLIN-CLAVULANATE POTASS","AMOXICILLIN/POTASSIUM CLAV",2345274,63904075.32,1789120,35.718160504,52003898.337,1.3312330461,1026464,11.097624086,762656,1.8433601126,2011
"AMOXIL","AMOXICILLIN",284,1513.79,245,6.1787346939,15108,0.1831318669,93,3.0804301075,152,1.0507894737,2011
"LEVAQUIN","LEVOFLOXACIN",1368640,224016370.99,1077954,207.81626209,12203516.574,20.859929714,557128,69.032087366,520826,6.0811614052,2011
"LEVOFLOXACIN","LEVOFLOXACIN",1301172,59488907.64,1026151,57.972859394,11065085.137,5.6079791391,544808,15.601016376,481343,1.4479396189,2011
"LEVOTHROID","LEVOTHYROXINE SODIUM",927058,21545915.42,229368,93.936012957,67680658.963,0.3183745266,188605,51.223149174,40763,8.9302485097,2011
"LEVOTHYROXINE SODIUM","LEVOTHYROXINE SODIUM",27309607,256540000.35,4132806,62.074048564,1174763806.5,0.2195873366,2556863,36.869435167,1575943,8.5648199396,2011
"LEVOXYL","LEVOTHYROXINE SODIUM",1900260,33416912.63,413702,80.775322889,118814732.42,0.2812869162,351253,39.298593293,62449,9.1000403529,2011
"LEXAPRO","ESCITALOPRAM OXALATE",5643260,721042703.7,884769,814.95023413,204081969.18,3.565995886,392964,265.69157243,491805,23.726384929,2011
"LIPITOR","ATORVASTATIN CALCIUM",13774167,2672901532,2607568,1025.0553512,584828531.53,4.5771461296,1634327,277.27504947,973241,26.914809662,2011
"LISINOPRIL","LISINOPRIL",32757041,322319151.75,5884014,54.778787364,1656464969,0.194301116,3578685,32.49883752,2305329,7.6893938132,2011
"LISINOPRIL-HCTZ","LISINOPRIL/HYDROCHLOROTHIAZIDE",1329,15889.77,889,17.87375703,54523,0.2913322543,382,9.4567801047,507,2.2832149901,2011
"LISINOPRIL-HYDROCHLOROTHIAZIDE","LISINOPRIL/HYDROCHLOROTHIAZIDE",6813705,78937677.72,1340037,58.907088177,385258116.88,0.2053737489,897098,33.339095918,442939,8.8422036894,2011
"LITE TOUCH","PEN NEEDLE, DIABETIC",376,6463.77,159,40.652641509,36380,0.1776737218,57,27.165438596,102,7.2097058824,2011
"AMRIX","CYCLOBENZAPRINE HCL",7430,2644765.07,3786,698.56446646,255512,10.351666865,1437,127.38284621,2349,11.333584504,2011
"LOPRESSOR","METOPROLOL TARTRATE",16101,2221422.76,3218,690.3116097,1173793.5,1.8945869244,2383,325.51396979,835,24.893760479,2011
"LORAZEPAM","LORAZEPAM",849712,11313477.79,195625,57.832474326,49843885.005,0.2278136973,161466,22.733310542,34159,15.093800755,2011
"LORAZEPAM INTENSOL","LORAZEPAM",1034,44648.03,794,56.231775819,32532,1.3724342186,562,16.924768683,232,10.288362069,2011
"LORCET 10-650","HYDROCODONE/ACETAMINOPHEN",2390,383887.77,544,705.67604779,245533,1.5634874742,175,358.63342857,369,14.954308943,2011
"LORCET PLUS","HYDROCODONE/ACETAMINOPHEN",1211,119351.43,360,331.53175,109543,1.0895395415,138,242.51253623,222,9.6158558559,2011
"LORTAB","HYDROCODONE/ACETAMINOPHEN",16590,2346882.54,5300,442.80802642,1599875,1.4871924469,1716,234.48750583,3584,9.1020368304,2011
"LOSARTAN POTASSIUM","LOSARTAN POTASSIUM",8464072,231131561.87,1676034,137.90386225,416137229.1,0.5610758645,1158083,47.885517048,517951,7.7605373288,2011
"LOSARTAN-HYDROCHLOROTHIAZIDE","LOSARTAN/HYDROCHLOROTHIAZIDE",3367721,111487925.21,630908,176.71027346,152472196.18,0.7317826369,456765,51.445332479,174143,9.2906027805,2011
"LOVASTATIN","LOVASTATIN",6966660,130723947.18,1277640,102.31673021,381140482.49,0.3387868158,887497,41.808936999,390143,8.898067119,2011
"MACROBID","NITROFURANTOIN MONOHYD/M-CRYST",2723,295208.84,1877,157.27695258,1094803.2,0.2696455765,1227,65.59398533,650,4.0097538462,2011
"MAGNACET","OXYCODONE HCL/ACETAMINOPHEN",111,39349.37,43,915.10162791,9404,4.1747082584,19,57.954736842,24,12.86375,2011
"MARGESIC H","HYDROCODONE/ACETAMINOPHEN",21,304.1,14,21.721428571,784,0.3878826531,,,,,2011
"MATZIM LA","DILTIAZEM HCL",29044,3755302.16,10611,353.90652719,1315068.111,2.8733290493,6835,117.85662765,3776,6.6603840042,2011
"MAXZIDE","TRIAMTERENE/HYDROCHLOROTHIAZID",3888,345207.84,1086,317.87093923,160669,2.1485653113,833,201.35578631,253,20.515256917,2011
"MAXZIDE-25 MG","TRIAMTERENE/HYDROCHLOROTHIAZID",8698,346401.92,2922,118.54959617,362569,0.9554096462,2295,95.161647059,627,10.493508772,2011
"MECLIZINE HCL","MECLIZINE HCL",2058182,39302544.71,855868,45.921269062,121678181.13,0.3229487123,465247,13.212525046,390621,3.6060468843,2011
"MEDROL","METHYLPREDNISOLONE",13457,522087.21,10096,51.712283082,449352,1.3488375014,6621,34.142476967,3475,3.7288,2011
"MELOXICAM","MELOXICAM",5718281,48408342.96,1665501,29.065334071,241714423.61,0.2004220022,944685,16.616994511,720816,4.7694680751,2011
"MEPROLONE UNIPAK","METHYLPREDNISOLONE",476,3276.41,430,7.6195581395,10125,0.3235960494,170,5.0625294118,260,1.3276923077,2011
"METFORMIN HCL","METFORMIN HCL",18854579,214487242.88,3323712,64.532439297,1740743245.6,0.1236875495,1858782,30.807120389,1464930,7.64286755,2011
"METFORMIN HCL ER","METFORMIN HCL",2877986,47746003.48,583096,81.88360661,302469962.2,0.1640298224,372820,34.611385843,210276,7.6577392094,2011
"METHYLPREDNISOLONE","METHYLPREDNISOLONE",1644173,26855328.2,1290364,20.812211283,37099963.692,0.7606852267,815528,7.7891195642,474836,1.8448985544,2011
"METOPROLOL SUCCINATE","METOPROLOL SUCCINATE",14060273,662315892.4,2454154,269.87544074,695390462.88,0.95376478,1623828,63.759465522,830326,9.8961949403,2011
"METOPROLOL TARTRATE","METOPROLOL TARTRATE",18489591,126130051.69,3245430,38.86389529,1373973390.3,0.0921190154,1900404,24.695178994,1345026,6.7785739309,2011
"METROCREAM","METRONIDAZOLE",433,148187.32,259,572.15181467,23766,6.2352655053,187,109.63759358,72,5.3434722222,2011
"METROGEL","METRONIDAZOLE",82353,16300887.91,57824,281.90522811,5164588.375,3.1562785592,42136,86.057361401,15688,7.1358739164,2011
"METROGEL-VAGINAL","METRONIDAZOLE",475,15797.73,383,41.247336815,43818.8,0.3605240217,137,31.319927007,246,3.4732926829,2011
"METROLOTION","METRONIDAZOLE",201,64190.19,120,534.91825,13239,4.8485678677,82,121.11426829,38,3.26,2011
"METRONIDAZOLE","METRONIDAZOLE",1531525,34350934.42,1095992,31.342322225,51345984.771,0.5821536808,611914,10.038849659,484078,1.6946051463,2011
"MEVACOR","LOVASTATIN",350,57065.01,126,452.89690476,18107,3.1155661252,91,180.34703297,35,24.251142857,2011
"MICRO-K","POTASSIUM CHLORIDE",6739,782078.09,4140,188.90775121,1056694.6,0.7431106681,3858,27.165813893,282,5.9215248227,2011
"MICROZIDE","HYDROCHLOROTHIAZIDE",629,28865.43,163,177.08852761,31326,0.9214527868,116,128.48706897,47,8.2140425532,2011
"MINITRAN","NITROGLYCERIN",59366,3197155.19,16773,190.61319919,3059935.03,1.0452420237,12157,59.19876532,4616,9.3616551127,2011
"ANTIVERT","MECLIZINE HCL",419,38733.1,232,166.95301724,22248,1.7419354296,117,90.462820513,115,7.3969565217,2011
"MIRALAX","POLYETHYLENE GLYCOL 3350",43,4548.26,17,267.54470588,9939,0.6617324954,,,,,2011
"MIRTAZAPINE","MIRTAZAPINE",4451267,75402246.37,752492,100.20338604,142330369.28,0.5289811815,297196,45.016933943,455296,4.9184472958,2011
"MOBIC","MELOXICAM",4847,1236517.57,1436,861.08465877,231728,5.6339102947,801,250.96862672,635,15.80919685,2011
"MONOKET","ISOSORBIDE MONONITRATE",50,5066.27,,,2596,1.9790308707,,,,,2011
"MOXATAG","AMOXICILLIN",990,100326.21,890,112.72607865,10204,9.8320472364,357,62.512464986,533,5.6301688555,2011
"MUPIROCIN","MUPIROCIN",1373225,26373483.69,882587,29.882021478,36252741.795,0.7274893535,477985,9.6607200644,404602,1.7216098536,2011
"NAMENDA","MEMANTINE HCL",5316132,1095522571.1,742257,1475.9343072,326482029.92,3.368428681,364589,383.07648517,377668,24.429149994,2011
"NAPROSYN","NAPROXEN",987,141722.13,462,306.75785714,74127,1.9558133917,265,140.48916981,197,8.7111675127,2011
"NAPROXEN","NAPROXEN",3130672,29462983.18,1223172,24.087359079,196713341.42,0.1508410514,543990,12.088661317,679182,3.3029257254,2011
"NASACORT AQ","TRIAMCINOLONE ACETONIDE",87490,11350936.75,43111,263.29560321,1707690.795,6.6469508316,23005,101.10785916,20106,8.5988605391,2011
"ACETAMINOPHEN-CODEINE","ACETAMINOPHEN WITH CODEINE",2803822,37536168.31,1192417,31.479061696,172267021.29,0.2256168452,600518,13.583327294,591899,3.2354040132,2011
"NEEDLES","PEN NEEDLE, DIABETIC",15464,256020.4,6395,40.034464425,1444530,0.1772343946,3857,30.481101893,2538,9.1994365642,2011
"NEURONTIN","GABAPENTIN",45489,13736197.29,10239,1341.556528,11165215.208,1.8960356951,3604,277.3536071,6635,13.814479277,2011
"NEXIUM","ESOMEPRAZOLE MAGNESIUM",8224024,1970138397.5,1516296,1299.3098956,334305384.59,5.8938373815,556827,263.85447568,959469,24.732584669,2011
"NIRAVAM","ALPRAZOLAM",63,30626.23,14,2187.5878571,7096,3.8989763324,14,,0,,2011
"NITRO-BID","NITROGLYCERIN",31173,772226.79,16227,47.589005361,1622888.386,0.475834812,6831,23.385211536,9396,2.0667752235,2011
"NITRO-DUR","NITROGLYCERIN",56702,7131103.7,12001,594.20912424,2149575,3.3528820452,5631,139.98894157,6370,12.180676609,2011
"NITROFURANTOIN MACROCRYSTAL","NITROFURANTOIN MONOHYD/M-CRYST",1342,49510.01,923,53.640314193,26328,1.8805078244,202,13.493267327,721,1.249667129,2011
"NITROFURANTOIN MONO-MACRO","NITROFURANTOIN MONOHYD/M-CRYST",1732884,81923971.71,1080472,75.822392168,34980604.949,2.3419827024,607899,16.563937661,472573,2.0657930732,2011
"NITROGLYCERIN","NITROGLYCERIN",109020,4314162.5,81311,53.057550639,4426898.95,3.1794290349,42247,13.104807915,39064,1.9242806676,2011
"NITROGLYCERIN PATCH","NITROGLYCERIN",896722,28274130.56,162237,174.27670975,30761643.53,0.9182943988,70976,46.62093271,91261,5.7000344068,2011
"NITROLINGUAL","NITROGLYCERIN",77484,18943773.75,47955,395.0322959,799655.55,23.689917177,22825,82.78324644,25130,7.0788292877,2011
"NITROMIST","NITROGLYCERIN",1238,250610.44,892,280.95340807,10674.6,23.477267532,482,74.974419087,410,5.6658292683,2011
"NITROQUICK","NITROGLYCERIN",954,8388.98,666,12.596066066,51043.24,0.1679856329,197,5.25,469,1.4586567164,2011
"NITROSTAT","NITROGLYCERIN",1777287,23699610.76,1124438,21.076849733,78702887.505,0.3045123348,647698,14.812191176,476740,5.5398438352,2011
"NORCO","HYDROCODONE/ACETAMINOPHEN",9049,2118278.55,2754,769.16432462,1177985,1.7505894635,982,217.85984725,1772,7.4291986456,2011
"NORITATE","METRONIDAZOLE",7070,1060254.43,5056,209.70222112,448993,2.3614052558,4164,88.706135927,892,8.3322869955,2011
"NORVASC","AMLODIPINE BESYLATE",74544,8137885.26,16574,491.0030928,3349847.64,2.4537363438,9939,251.34728041,6635,21.198574228,2011
"NOVOFINE","PEN NEEDLE, DIABETIC",200956,7559735.9,65311,115.7498109,24066498.3,0.3141349732,31217,65.745940033,34094,9.7834580865,2011
"NOVOFINE 32","PEN NEEDLE, DIABETIC",148652,6715258.66,55541,120.90633334,18117467.03,0.3706510766,29580,68.275488168,25961,9.2222653211,2011
"NOVOTWIST","PEN NEEDLE, DIABETIC",4493,182702.32,2970,61.51593266,489323,0.3735992835,1869,37.296736223,1101,4.2147320618,2011
"ARICEPT","DONEPEZIL HCL",527378,146174167.26,155748,938.52997958,18157199.956,8.0516035471,68257,245.66755058,87491,14.063638431,2011
"NYAMYC","NYSTATIN",81096,2701753.15,40607,66.53417268,2775719.7,0.9733522985,11531,15.752981528,29076,1.2359987619,2011
"NYSTATIN","NYSTATIN",1389302,35390835.96,741297,47.741776859,212339590.72,0.2788997683,334564,13.035840437,406733,1.8179683478,2011
"NYSTOP","NYSTATIN",674758,24024034.07,309163,77.706692166,25169901.441,0.9544746977,115674,16.05664661,193489,1.7919746859,2011
"ARICEPT ODT","DONEPEZIL HCL",5920,1529608.06,2006,762.51648056,185721,8.2360280921,617,188.34880065,1389,5.2050899928,2011
"OLEPTRO ER","TRAZODONE HCL",3787,486603.72,1171,415.54544833,135470.5,3.6131417734,308,178.68292208,863,10.144264195,2011
"OLUX","CLOBETASOL PROPIONATE",676,253930,407,623.90663391,66150,3.8386999244,227,107.91281938,180,8.1993888889,2011
"OMEPRAZOLE","OMEPRAZOLE",27360685,676847466.82,5331319,126.95685004,1358249424.9,0.5049721617,2891567,41.27117685,2439752,6.7777801186,2011
"OMNIPRED","PREDNISOLONE ACETATE",1087,71525.19,786,90.998969466,8210,8.7119598051,562,60.307135231,224,5.3083928571,2011
"ORALONE","TRIAMCINOLONE ACETONIDE",189,13307.06,137,97.131824818,1065,12.494892019,89,14.533820225,48,2.0802083333,2011
"OXYBUTYNIN CHLORIDE","OXYBUTYNIN CHLORIDE",2127016,19525556.12,489258,39.908506596,168727613.91,0.1166748917,286310,21.209903356,202948,5.3463405404,2011
"OXYBUTYNIN CHLORIDE ER","OXYBUTYNIN CHLORIDE",1922299,164610406.59,390590,421.44040193,82811887.23,1.9858849052,224132,83.284478075,166458,7.6552917853,2011
"OXYCODONE CONCENTRATE","OXYCODONE HCL",1113,126246.53,534,236.41672285,72971,1.7300918173,170,40.253058824,364,2.3249725275,2011
"OXYCODONE HCL","OXYCODONE HCL",3771888,177593128.53,727362,244.16058102,441648847.39,0.4017389501,308942,49.381126975,418420,8.948587687,2011
"OXYCODONE HCL-ACETAMINOPHEN","OXYCODONE HCL/ACETAMINOPHEN",475,23764.73,234,101.55867521,40621,0.5888842736,59,31.915254237,175,2.7578285714,2011
"OXYCODONE-ACETAMINOPHEN","OXYCODONE HCL/ACETAMINOPHEN",6754105,184158775.52,2077955,88.625006567,523731738.87,0.3079730748,1063693,23.788781631,1014262,5.5117833459,2011
